"uniqueSourceID","ct"
"767","18"
"768","10"
"769","1"
"770","7"
"771","30"
"772","27"
"773","2"
"774","121"
"775","3"
"776","44"
"777","2"
"778","14"
"779","31"
"780","6"
"781","3"
"782","49"
"783","2"
"784","3"
"785","25"
"786","2"
"787","106"
"788","1"
"789","2"
"790","24"
"791","36"
"792","1"
"793","11"
"794","7"
"795","3"
"796","55"
"797","1"
"798","1"
"799","3"
"800","64"
"801","1"
"802","1"
"803","14"
"804","3"
"805","3"
"806","1"
"807","22"
"808","8"
"809","2"
"810","12"
"811","1"
"812","7"
"813","40"
"814","9"
"815","2"
"816","3"
"817","8"
"818","11"
"819","88"
"820","13"
"821","1"
"822","3"
"823","1"
"824","5"
"825","11"
"826","221"
"827","6"
"828","2"
"829","6"
"830","17"
"831","18"
"832","49"
"833","18"
"834","1"
"835","1"
"836","2"
"837","1"
"838","2"
"839","1"
"840","2"
"841","1"
"842","46"
"843","4"
"844","1"
"845","3"
"846","34"
"847","6"
"848","36"
"849","337"
"850","5"
"851","25"
"852","662"
"853","4"
"854","1"
"855","3"
"856","2"
"857","2"
"858","3"
"859","3"
"860","2"
"861","6"
"862","1"
"863","1"
"864","2"
"865","3"
"866","224"
"867","1"
"868","7"
"869","7"
"870","2"
"871","7"
"872","80"
"873","67"
"874","67"
"875","4"
"876","34"
"877","5"
"878","337"
"879","8"
"880","1"
"881","13"
"882","1"
"883","3"
"884","22"
"885","2"
"886","8"
"887","1"
"888","11"
"889","2"
"890","3"
"891","6"
"892","2"
"893","9"
"894","2"
"895","5"
"896","109"
"897","8"
"898","1"
"899","4"
"900","1"
"901","2"
"902","17"
"903","16"
"904","4"
"905","5"
"906","37"
"907","2"
"908","41"
"909","3"
"910","2"
"911","7"
"912","1"
"913","52"
"914","1"
"915","9"
"916","2"
"917","1"
"918","7"
"919","50"
"920","2"
"921","3"
"922","5"
"923","8"
"924","1"
"925","10"
"926","4"
"927","255"
"928","25"
"929","12"
"930","1"
"931","1"
"932","1"
"933","1"
"934","1"
"935","6"
"936","17"
"937","36"
"938","3"
"939","3"
"940","7"
"941","1"
"942","7"
"943","7"
"944","46"
"945","17"
"946","17"
"947","38"
"948","4"
"949","1"
"950","5"
"951","5"
"952","3"
"953","1"
"954","6"
"955","3"
"956","19"
"957","1"
"958","12"
"959","14"
"960","14"
"961","593"
"962","8"
"963","1"
"964","1"
"965","5"
"966","2"
"967","1"
"968","1"
"969","1"
"970","2"
"971","94"
"972","8"
"973","5"
"974","5"
"975","81"
"976","6"
"977","2"
"978","1"
"979","1"
"980","1"
"981","3"
"982","7"
"983","1"
"984","2"
"985","18"
"986","2"
"987","1"
"988","4"
"989","10"
"990","65"
"991","1"
"992","60"
"993","16"
"994","48"
"995","9"
"996","38"
"997","5"
"998","3"
"999","3"
"1000","22"
"1001","46"
"1002","3"
"1003","170"
"1004","421"
"1005","5"
"1006","2"
"1007","874"
"1008","15"
"1009","13"
"1010","10"
"1011","24"
"1012","358"
"1013","1"
"1014","10"
"1015","385"
"1016","1"
"1017","3"
"1018","3"
"1019","2"
"1020","2"
"1021","17"
"1022","2"
"1023","14"
"1024","2"
"1025","354"
"1026","1"
"1027","6"
"1028","21"
"1029","3"
"1030","3"
"1031","6"
"1032","385"
"1033","92"
"1034","4"
"1035","6"
"1036","2"
"1037","1"
"1038","1"
"1039","21"
"1040","35"
"1041","36"
"1042","9"
"1043","4"
"1044","17"
"1045","4"
"1046","12"
"1047","11"
"1048","2"
"1049","1"
"1050","64"
"1051","32"
"1052","1"
"1053","3"
"1054","586"
"1055","18"
"1056","3"
"1057","2"
"1058","1"
"1059","4"
"1060","1"
"1061","2"
"1062","4"
"1063","3"
"1064","2"
"1065","2"
"1066","3"
"1067","5"
"1068","39"
"1069","3"
"1070","1"
"1071","2"
"1072","4"
"1073","9"
"1074","161"
"1075","170"
"1076","134"
"1077","1"
"1078","12"
"1079","1"
"1080","11"
"1081","1"
"1082","7"
"1083","9"
"1084","1"
"1085","3"
"1086","340"
"1087","1083"
"1088","21"
"1089","3"
"1090","1"
"1091","3"
"1092","3"
"1093","37"
"1094","47"
"1095","4"
"1096","5"
"1097","7"
"1098","3"
"1099","1"
"1100","11"
"1101","3"
"1102","5"
"1103","37"
"1104","112"
"1105","35"
"1106","37"
"1107","12"
"1108","3"
"1109","2"
"1110","4"
"1111","2"
"1112","13"
"1113","35"
"1114","2"
"1115","25"
"1116","89"
"1117","7"
"1118","8"
"1119","21"
"1120","3"
"1121","16"
"1122","374"
"1123","7"
"1124","3"
"1125","21"
"1126","4"
"1127","6"
"1128","2"
"1129","1"
"1130","2"
"1131","37"
"1132","5"
"1133","3"
"1134","2"
"1135","11"
"1136","4"
"1137","1"
"1138","18"
"1139","20"
"1140","4"
"1141","8"
"1142","2"
"1143","78"
"1144","36"
"1145","1"
"1146","3"
"1147","12"
"1148","10"
"1149","11"
"1150","37"
"1151","2"
"1152","13"
"1153","5"
"1154","6"
"1155","15"
"1156","6"
"1157","1"
"1158","385"
"1159","1"
"1160","1"
"1161","2"
"1162","5"
"1163","1"
"1164","1"
"1165","1"
"1166","1"
"1167","36"
"1168","3"
"1169","20"
"1170","25"
"1171","3"
"1172","46"
"1173","8"
"1174","3"
"1175","10"
"1176","8"
"1177","3"
"1178","12"
"1179","13"
"1180","8"
"1181","166"
"1182","6"
"1183","77"
"1184","197"
"1185","1"
"1186","2"
"1187","2"
"1188","38"
"1189","3"
"1190","26"
"1191","1"
"1192","7"
"1193","2"
"1194","8"
"1195","1"
"1196","1"
"1197","4"
"1198","100"
"1199","124"
"1200","1"
"1201","7"
"1202","34"
"1203","92"
"1204","16"
"1205","112"
"1206","34"
"1207","2"
"1208","4"
"1209","1"
"1210","11"
"1211","17"
"1212","1"
"1213","6"
"1214","1"
"1215","17"
"1216","161"
"1217","12"
"1218","32"
"1219","5"
"1220","2"
"1221","616"
"1222","1"
"1223","214"
"1224","2"
"1225","29"
"1226","52"
"1227","7"
"1228","6"
"1229","4"
"1230","9"
"1231","6"
"1232","33"
"1233","17"
"1234","3"
"1235","30"
"1236","36"
"1237","37"
"1238","1"
"1239","2"
"1240","14"
"1241","2"
"1242","4"
"1243","25"
"1244","53"
"1245","7"
"1246","52"
"1247","396"
"1248","802"
"1249","244"
"1250","10"
"1251","1"
"1252","3"
"1253","1"
"1254","3"
"1255","11"
"1256","25"
"1257","141"
"1258","115"
"1259","1"
"1260","7"
"1261","2"
"1262","7"
"1263","383"
"1264","4"
"1265","2"
"1266","22"
"1267","140"
"1268","30"
"1269","163"
"1270","1"
"1271","2"
"1272","2"
"1273","2"
"1274","9"
"1275","6"
"1276","15"
"1277","13"
"1278","14"
"1279","3"
"1280","1"
"1281","6"
"1282","7"
"1283","1"
"1284","1"
"1285","16"
"1286","1"
"1287","2"
"1288","49"
"1289","3"
"1290","222"
"1291","2"
"1292","17"
"1293","1"
"1294","3"
"1295","30"
"1296","11"
"1297","2"
"1298","9"
"1299","7"
"1300","337"
"1301","103"
"1302","165"
"1303","9"
"1304","3"
"1305","5"
"1306","37"
"1307","1"
"1308","19"
"1309","1"
"1310","2"
"1311","8"
"1312","3"
"1313","10"
"1314","1"
"1315","92"
"1316","1"
"1317","591"
"1318","2"
"1319","16"
"1320","17"
"1321","1"
"1322","170"
"1323","1"
"1324","1"
"1325","1"
"1326","111"
"1327","2"
"1328","67"
"1329","5"
"1330","8"
"1331","25"
"1332","3"
"1333","34"
"1334","36"
"1335","1"
"1336","6"
"1337","3"
"1338","50"
"1339","4"
"1340","60"
"1341","1"
"1342","1"
"1343","1"
"1344","3"
"1345","4"
"1346","1"
"1347","4"
"1348","6"
"1349","2"
"1350","24"
"1351","1"
"1352","2"
"1353","50"
"1354","6"
"1355","19"
"1356","37"
"1357","1"
"1358","1"
"1359","2"
"1360","34"
"1361","1"
"1362","2"
"1363","28"
"1364","48"
"1365","5"
"1366","22"
"1367","1"
"1368","1"
"1369","3"
"1370","3"
"1371","3"
"1372","2"
"1373","7"
"1374","4"
"1375","9"
"1376","1"
"1377","15"
"1378","9"
"1379","15"
"1380","8"
"1381","88"
"1382","4"
"1383","2"
"1384","135"
"1385","2"
"1386","109"
"1387","1"
"1388","3"
"1389","1"
"1390","30"
"1391","1"
"1392","2"
"1393","1"
"1394","3"
"1395","55"
"1396","1"
"1397","4"
"1398","1"
"1399","24"
"1400","35"
"1401","3"
"1402","1"
"1403","123"
"1404","107"
"1405","1"
"1406","1"
"1407","37"
"1408","28"
"1409","2"
"1410","3"
"1411","2"
"1412","28"
"1413","1"
"1414","9"
"1415","205"
"1416","14"
"1417","1"
"1418","4"
"1419","2"
"1420","220"
"1421","1"
"1422","8"
"1423","9"
"1424","1"
"1425","3"
"1426","92"
"1427","1"
"1428","19"
"1429","1"
"1430","1"
"1431","52"
"1432","109"
"1433","4"
"1434","1"
"1435","1"
"1436","4"
"1437","5"
"1438","18"
"1439","19"
"1440","3"
"1441","2"
"1442","4"
"1443","4"
"1444","21"
"1445","1"
"1446","3"
"1447","4"
"1448","15"
"1449","2"
"1450","1"
"1451","19"
"1452","10"
"1453","3"
"1454","15"
"1455","4"
"1456","1"
"1457","1"
"1458","3"
"1459","15"
"1460","1"
"1461","3"
"1462","12"
"1463","48"
"1464","5"
"1465","13"
"1466","394"
"1467","32"
"1468","18"
"1469","475"
"1470","42"
"1471","14"
"1472","1"
"1473","2"
"1474","3"
"1475","1"
"1476","2"
"1477","1"
"1478","24"
"1479","2"
"1480","17"
"1481","5"
"1482","1"
"1483","1"
"1484","15"
"1485","5"
"1486","9"
"1487","1"
"1488","221"
"1489","4"
"1490","2"
"1491","67"
"1492","4"
"1493","18"
"1494","9"
"1495","1012"
"1496","17"
"1497","1"
"1498","149"
"1499","8"
"1500","15"
"1501","713"
"1502","7"
"1503","6"
"1504","1"
"1505","233"
"1506","74"
"1507","4"
"1508","3"
"1509","388"
"1510","93"
"1511","662"
"1512","27"
"1513","21"
"1514","36"
"1515","1"
"1516","4"
"1517","343"
"1518","7"
"1519","1"
"1520","60"
"1521","1"
"1522","29"
"1523","193"
"1524","2"
"1525","2"
"1526","11"
"1527","4"
"1528","9"
"1529","18"
"1530","1"
"1531","15"
"1532","2"
"1533","3"
"1534","10"
"1535","14"
"1536","150"
"1537","2"
"1538","5"
"1539","7"
"1540","65"
"1541","1"
"1542","7"
"1543","14"
"1544","25"
"1545","5"
"1546","4"
"1547","19"
"1548","2"
"1549","3"
"1550","1"
"1551","1"
"1552","2"
"1553","4"
"1554","1"
"1555","209"
"1556","35"
"1557","144"
"1558","7"
"1559","5"
"1560","44"
"1561","33"
"1562","32"
"1563","10"
"1564","1"
"1565","3"
"1566","1"
"1567","3"
"1568","34"
"1569","75"
"1570","31"
"1571","93"
"1572","2"
"1573","5"
"1574","1"
"1575","2"
"1576","21"
"1577","3"
"1578","1"
"1579","1"
"1580","1427"
"1581","32"
"1582","3"
"1583","36"
"1584","1"
"1585","2"
"1586","12"
"1587","14"
"1588","4"
"1589","4"
"1590","1"
"1591","35"
"1592","23"
"1593","2"
"1594","260"
"1595","3"
"1596","3"
"1597","9"
"1598","44"
"1599","43"
"1600","1"
"1601","6"
"1602","3"
"1603","2"
"1604","3"
"1605","3"
"1606","2"
"1607","11"
"1608","1"
"1609","6"
"1610","37"
"1611","2"
"1612","4"
"1613","1"
"1614","2"
"1615","4"
"1616","1"
"1617","1"
"1618","39"
"1619","3"
"1620","2"
"1621","60"
"1622","30"
"1623","2"
"1624","35"
"1625","1"
"1626","7"
"1627","35"
"1628","1"
"1629","2"
"1630","11"
"1631","3"
"1632","13"
"1633","49"
"1634","317"
"1635","9"
"1636","10"
"1637","1"
"1638","60"
"1639","13"
"1640","1"
"1641","2"
"1642","12"
"1643","32"
"1644","178"
