13	8233,6462,10028,485
14	11119,13399,2225,7664,1333
15	865
16	7948,4564
17	1849
18	8233,11146,11421,8412,10874,6223,1169,12503,1171,11649,7240,10782,2968,1180,627
20	9786
21	6462,10778,7683,6369,7894,8288,8286,8279
22	6575,1975,963,3948,10778,10124,450,673
23	7665,11110,10425,10185,3756,10383,730
24	11491,10778,10028,10027,1218,1217
25	11491,10778,10028,10027
26	10028
27	11123,1756,7229,7429,11195,9314,7188,7228,7189,7190,7191
28	10778,10028
29	2159,2492,12745,12617
31	8233,11146,7940,447,10462,1441,6295,2997,3045,4880,419,6872,5452,12406,6686,3572,4881,4451,10209,13212,6042,10311,11439,10421,4848,1235,5485,1726,5354,4488,2076,11836,1666,1687,6301,5356,5487,6504,5242,1674,10344,3389,10223,10234,5355,6684,5098,5499,3425,5358,3499,6501,5548,5096,3391,914,2763,539,5023,8761,5024,9068,5523,8987,2020,5524,9407,2021,2019,8243,8860,5097,1236,5486,9450,1993,677,5607,4909,9406,5606,5099,10312,913,11189,676,678,1373,1297,11188,1296,1374,1372,9262,1298
32	12998,5211,5212,13039,13402,4522,4081,4083,4082,4080,12661,4100,1054,4079,4101,3933,3927
33	7066,7047,7014,6459,11756,5189,12638,5475
34	4015,6884
35	10778,10028
36	7759,119,1456,7444,12693,7043,12417
37	7940,1622
38	6575,1975,963,3948,10124,450,673
39	4961
40	7232
41	6284,1905
42	9090,9089,9075
43	8233,11055,4550,497,5749,6971,3067,6579,2305,470,4138,4045,4022,3968,484,6574,415,6195,4546,9847,8039,7833,6192,1869,8276,7225,7206,1616,449,4836,7888,5994,12988,6307,5991,9688,13558,5993,5992,2056,7587,6308,5990,10629,6196,6702,1256,4415,2501,1981,640,10678,636,639,594
44	7458,2810,6525,5922,2811,11178
45	3689,3693,7095
46	3027,10547,7247,1766,6178,8290,10708,8716,7877,9116,12420,887,4660,182,4661,4663,4662,4664,4666,4665
47	8361
48	1782
49	6226,3836,3872,9459
50	3554
51	11307,11128,11306
52	8233,11419,10462,8357,1157,2251,11484,2152,11541,11540,10921,6772,1162,10930,10929,4343,4215,6764,3569,6321,12101,5738,9982,7473,7471,10928
